"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"MRO-TEK","MRO-TEK Realty Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"MSPL","MSP Steel & Power Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"MVGJL","Manoj Vaibhav Gems N Jewellers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"NDL","Nandan Denim Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"NGLFINE","NGL Fine-Chem Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"NHPC","NHPC Limited","Financial Results/Dividend","In compliance to Regulation 29 of SEBI (LODR) Regulations, 2015, it is to inform that a meeting of Board of Directors of the Company is scheduled to be held on Monday, 12th February, 2024 to inter-alia consider unaudited Financial Results (Standalone and Consolidated) of the Company for the quarter/ nine months ended on 31st December, 2023. The Board of Directors in the aforesaid meeting may also consider the proposal for declaration of interim dividend on equity share capital of the Company for the FY 2023-24. Further, in pursuance to SEBI (PIT) Regulations, 2015, the 'trading window' for dealing in the securities of Company by designated persons was closed from Monday, 01st January, 2024 and will remain closed upto 48 hours after the date of declaration of the said Financial Results i.e. upto Wednesday, 14th February, 2024 (both days inclusive)","12-Feb-2024"
"NINSYS","NINtec Systems Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"NIRAJ","Niraj Cement Structurals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"NITCO","Nitco Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"NUCLEUS","Nucleus Software Exports Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"OAL","Oriental Aromatics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"OILCOUNTUB","Oil Country Tubular Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"OMINFRAL","OM INFRA LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"OPTIEMUS","Optiemus Infracom Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"ORISSAMINE","The Orissa Minerals Development Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"OSWALAGRO","Oswal Agro Mills Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"OSWALGREEN","Oswal Greentech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PANSARI","Pansari Developers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PANSARI","Pansari Developers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PATELENG","Patel Engineering Limited","Fund Raising","Further to our Notice dated February 5, 2024, informing you that a Meeting of Board of Directors of the Company will be held on Monday, February 12, 2024, inter-alia to consider and approve the Un-audited Standalone and Consolidated Financial Results of the Company for the quarter and nine months ended December 31, 2023, the Board of Directors of the Company shall also consider and approve, inter alia raising of funds through issuance of eligible securities of the company by way of one or more public and/or private offerings and/or on a preferential allotment basis and/or a qualified institutions placement and further seeking approval of the shareholders, if required.","12-Feb-2024"
"PATELENG","Patel Engineering Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PGIL","Pearl Global Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PHOENIXLTD","The Phoenix Mills Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PRECOT","Precot Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PVP","PVP Ventures Limited","Financial Results","PVP : 13-Feb-2024 :  The Company has informed the Exchange that a Board meeting to be held on February 12, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on February 13, 2024,  To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"PVP","PVP Ventures Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"RACE","Race Eco Chain Limited","Financial Results","To consider and approve the financial results for the Quarter and Nine Months ended on December 31, 2023","12-Feb-2024"
"RADHIKAJWE","Radhika Jeweltech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"RAJSREESUG","Rajshree Sugars & Chemicals Limited","Financial Results","To consider and approve the unaudited financial results for the quarter and nine months ended 31st December 2023","12-Feb-2024"
"RAMAPHO","Rama Phosphates Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"RAMKY","Ramky Infrastructure Limited","Financial Results/Other business matters","We hereby bring to your notice that a meeting of the Board of Directors of Ramky Infrastructure Limited is scheduled to be held on Monday, the 12th day of February 2024 inter alia to 1. Consider and approve Un-Audited Financial Statements (Standalone & Consolidated) of the company for the Quarter and Nine months ended 31st December, 2023.2. Take Note of the Limited Review Report on Un-Audited Financial Statements (Standalone & Consolidated) submitted by the Statutory Auditors of the Company for the Quarter and Nine months ended 31st December, 2023.Kindly take the above information on records.","12-Feb-2024"
"RANEHOLDIN","Rane Holdings Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
