"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"SUPREMEINF","Supreme Infrastructure India Limited","Financial Results","To consider and approve the unaudited financial results for the quarter and half year ended September 30, 2023","13-Feb-2024"
"SURYALAXMI","Suryalakshmi Cotton Mills Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"TAKE","Take Solutions Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"TARSONS","Tarsons Products Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"TASTYBITE","Tasty Bite Eatables Limited","Financial Results","To consider and approve the financial results for the  quarter ended December 31, 2023","13-Feb-2024"
"TCIFINANCE","TCI Finance Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"TECHNOE","Techno Electric & Engineering Company Limited","Fund Raising","To consider Fund Raising","13-Feb-2024"
"TECHNOE","Techno Electric & Engineering Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"TEXMOPIPES","Texmo Pipes and Products Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"TGBHOTELS","TGB Banquets And Hotels Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"THEJO","Thejo Engineering Limited","Financial Results","To consider the standalone and consolidated financial results for the quarter and nine months ended December 31, 2023","13-Feb-2024"
"TIDEWATER","Tide Water Oil Company (India) Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and second interim dividend for 23-24","13-Feb-2024"
"TIIL","Technocraft Industries (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"TRU","TruCap Finance Limited","Financial Results/Fund Raising","To consider and approve the unaudited financial results for the quarter and nine months ended December 31, 2023 and Fund Raising.","13-Feb-2024"
"TVSSRICHAK","TVS Srichakra Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"UGARSUGAR","The Ugar Sugar Works Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"UNIENTER","Uniphos Enterprises Limited","Financial Results","We wish to inform you, pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, that a Meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, the 13th February, 2024, inter-alia, to consider and approve the Unaudited Financial Results of the Company for the quarter and nine months ended 31st December, 2023 and take on record limited review report on unaudited financial results, to be issued by M/s. B S R & Co. LLP, Chartered Accountants, Statutory Auditor of the Company.   Further, as intimated earlier vide our letter dated 29th December, 2023, as per the SEBI (Prevention of Insider Trading) Regulations, 2015, the Trading Window Close Period for all Designated Persons has commenced from 1st January, 2024 and will continue till completion of 48 hours after the Unaudited Financial Results of the Company for the quarter and nine months ended 31st December, 2023 is uploaded online on the portal of the of the Stock Exchanges where the securities of the Company are listed.","13-Feb-2024"
"UNIVPHOTO","Universus Photo Imagings Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"VALIANTORG","Valiant Organics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"VARDMNPOLY","Vardhman Polytex Limited","Financial Results/Fund Raising","To consider and approve the financial results for the period ended December 31, 2023 and Fund Raising","13-Feb-2024"
"VETO","Veto Switchgears And Cables Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"VIKASLIFE","Vikas Lifecare Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"VIPCLOTHNG","VIP Clothing Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"VIPULLTD","Vipul Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"VLSFINANCE","VLS Finance Limited","Financial Results/Other business matters","To consider and approve the unaudited financial results (standalone and consolidated) for the period ended December 31, 2023 and other business matters.","13-Feb-2024"
"VLSFINANCE","VLS Finance Limited","Financial Results/Other business matters","To consider and approve the unaudited financial results (Standalone and consolidated) for the period ended December 31, 2023 and other business matters","13-Feb-2024"
"WSTCSTPAPR","West Coast Paper Mills Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"XCHANGING","Xchanging Solutions Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and consider declaration of 2nd interim dividend to the Equity Shareholders of the Company for the Financial Year 2023-2024.","13-Feb-2024"
"ZEEL","Zee Entertainment Enterprises Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"ZENITHSTL","Zenith Steel Pipes & Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"ZUARIIND","ZUARI INDUSTRIES LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","13-Feb-2024"
"AAREYDRUGS","Aarey Drugs & Pharmaceuticals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AARVEEDEN","Aarvee Denims & Exports Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ABFRL","Aditya Birla Fashion and Retail Limited","Fund Raising","To consider Fund Raising to redeem the existing Cumulative Redeemable Preference Shares","14-Feb-2024"
"ABFRL","Aditya Birla Fashion and Retail Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters.","14-Feb-2024"
"ABHISHEK","Abhishek Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AGROPHOS","Agro Phos India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"AHLADA","Ahlada Engineers Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"AKASH","Akash Infra Projects Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AKI","AKI India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AKSHOPTFBR","Aksh Optifibre Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ALANKIT","Alankit Limited","Financial Results/Fund Raising/Other business matters","To consider and approve the financial results for the period ended December 31, 2023, Fund Raising and other business matters","14-Feb-2024"
"ALEMBICLTD","Alembic Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"ALPSINDUS","Alps Industries Limited","Financial Results","To consider and approve the Unaudited Financial Results for the quarter and period ended on December 31 2023 along with other matters incidental thereto.","14-Feb-2024"
"AMBICAAGAR","Ambica Agarbathies & Aroma industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ANSALAPI","Ansal Properties & Infrastructure Limited","Financial Results/Dividend","To consider and approve inter-alia the following financial results (standalone and consolidated) :-                                                            i. 03rd Quarter ended on the 31st December, 2022 (subjected to Limited Review Report) ii. 04th Quarter/Year ended on the 31st March, 2023 (Subjected to Auditors Report)iii. 01st Quarter ended on the 30th June, 2023, (subjected to Limited Review Report)iv. 02nd Quarter/Half Year ended on the 30th September, 2023 (subjected to Limited Review Report)v. 03rd Quarter ended on the 31st December, 2023 (subjected to Limited Review Report)","14-Feb-2024"
"APOLSINHOT","Apollo Sindoori Hotels Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ARCOTECH","Arcotech Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"ARIES","Aries Agro Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ARSHIYA","Arshiya Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"ASHAPURMIN","Ashapura Minechem Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"ASIL","Amit Spinning Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AVG","AVG Logistics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AVONMORE","Avonmore Capital & Management Services Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"AVTNPL","AVT Natural Products Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","14-Feb-2024"
"AXISCADES","AXISCADES Technologies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"BASML","Bannari Amman Spinning Mills Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"BBL","Bharat Bijlee Limited","Stock Split","To consider and approve the proposal for sub-division / split of existing Equity Shares of the Company, having a Face Value of &#8377; 10/- each, fully paid up, in such manner as may be determined by the Board of Directors, subject to the approval of Shareholders of the Company and / or any other regulatory / statutory approvals (if any)","14-Feb-2024"
"BBTCL","B&B Triplewall Containers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"BGLOBAL","Bharatiya Global Infomedia Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"BGRENERGY","BGR Energy Systems Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"BHANDARI","Bhandari Hosiery Exports Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"BLKASHYAP","B. L. Kashyap and Sons Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"BVCL","Barak Valley Cements Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"CAPACITE","Capacit'e Infraprojects Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"CELEBRITY","Celebrity Fashions Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"CEREBRAINT","Cerebra Integrated Technologies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"CINEVISTA","Cinevista Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"CONFIPET","Confidence Petroleum India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"CONSOFINVT","Consolidated Finvest & Holdings Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"DAVANGERE","Davangere Sugar Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"DCAL","Dishman Carbogen Amcis Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"DCW","DCW Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"DIL","Debock Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"DJML","DJ Mediaprint & Logistics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"DNAMEDIA","Diligent Media Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"DSKULKARNI","DS Kulkarni Developers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"DYNPRO","Dynemic Products Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"E2E","E2E Networks Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"EMMBI","Emmbi Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"EROSMEDIA","Eros International Media Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ESTER","Ester Industries Limited","Financial Results/Other business matters","Pursuant to the requirement of Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that the meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, 14th February, 2024 inter alia, to consider and approve the Un-audited Financial Results for the quarter and nine months ended on 31st December, 2023 along with Limited Review Report thereon.","14-Feb-2024"
"ESTER","Ester Industries Limited","Fund Raising","In continuation to the Board Meeting Intimation filed on 08th February, 2024, pursuant to the requirement of Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that the meeting of the Board of Directors of the Company which is scheduled to be held on Wednesday, 14th February, 2024 inter alia, will also consider the proposal for raising of funds by way of issuance of one or more instruments including equity shares/convertible securities either by way of Preferential Issue/Rights Issue/or any other mode as may be considered or as may be deemed fit and/or other modalities including determination of price thereon.","14-Feb-2024"
"ETHOSLTD","Ethos Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"FACT","Fertilizers and Chemicals Travancore Limited","Financial Results","To consider and approve the unaudited financial results for the period ended December 31, 2023","14-Feb-2024"
"FCL","Fineotex Chemical Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","14-Feb-2024"
"GANECOS","Ganesha Ecosphere Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GANGESSECU","Ganges Securities Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GATECH","GACM Technologies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GATECHDVR","GACM Technologies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GENCON","Generic Engineering Construction and Projects Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GENESYS","Genesys International Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GENUSPAPER","Genus Paper & Boards Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GKWLIMITED","GKW Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"GLAND","Gland Pharma Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GLENMARK","Glenmark Pharmaceuticals Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GOENKA","Goenka Diamond and Jewels Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"GREENPOWER","Orient Green Power Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GRPLTD","GRP Limited","Financial Results","To consider and approve the unaudited financial results of the Company for the quarter and nine months ended December 31, 2023","14-Feb-2024"
"GSPL","Gujarat State Petronet Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GUFICBIO","Gufic Biosciences Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"GUJAPOLLO","Gujarat Apollo Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GUJRAFFIA","Gujarat Raffia Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"GVKPIL","GVK Power & Infrastructure Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"HARDWYN","Hardwyn India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"HGS","Hinduja Global Solutions Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"HPL","HPL Electric & Power Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"IBULHSGFIN","Indiabulls Housing Finance Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"INDTERRAIN","Indian Terrain Fashions Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"IPCALAB","IPCA Laboratories Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"JAYBARMARU","Jay Bharat Maruti Limited","Financial Results/Other business matters","To consider and approve the unaudited standalone and consolidated financial results for the 3rd quarter and nine months period ended on December 31, 2023.","14-Feb-2024"
"JHS","JHS Svendgaard Laboratories Limited","Financial Results","JHS SVENDGAARD LABORATORIES LTD has informed NSE that the meeting of the Board of Directors of the Company is scheduled on 14/02/2024 ,inter alia, to consider and approve the Un-Audited Financial Result (Standalone & Consolidated) of the Company for the quarter ended on December 31, 2023.","14-Feb-2024"
"JINDALPHOT","Jindal Photo Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"JINDALPOLY","Jindal Poly Films Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"JINDCOT","Jindal Cotex Limited","Financial Results","Board meeting Intimation under Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","14-Feb-2024"
"JMA","Jullundur Motor Agency (Delhi) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"JPOLYINVST","Jindal Poly Investment and Finance Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"JTEKTINDIA","Jtekt India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"JYOTICNC","Jyoti CNC Automation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KANORICHEM","Kanoria Chemicals & Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KAVVERITEL","Kavveri Telecom Products Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KDDL","KDDL Limited","Financial Results/Other business matters","A meeting of the Board of Directors of the Company is scheduled to be held on Wednesday,14th February, 2024, inter alia, to consider and approve Unaudited Financial Results (Standalone & Consolidated) of the Company for the quarter and nine months ended 31st December, 2023.","14-Feb-2024"
"KEEPLEARN","DSJ Keep Learning Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KERNEX","Kernex Microsystems (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KERNEX","Kernex Microsystems (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KHANDSE","Khandwala Securities Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"KIRLOSBROS","Kirloskar Brothers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KOHINOOR","Kohinoor Foods Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"KPIGREEN","KPI Green Energy Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"KSHITIJPOL","Kshitij Polyline Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023.","14-Feb-2024"
"LGHL","Laxmi Goldorna House Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"LIBERTSHOE","Liberty Shoes Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"LORDSCHLO","Lords Chloro Alkali Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"M&M","Mahindra & Mahindra Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"MAANALU","Maan Aluminium Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MADRASFERT","Madras Fertilizers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MAHESHWARI","Maheshwari Logistics Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"MARINE","Marine Electricals (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MARSHALL","Marshall Machines Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"MBLINFRA","MBL Infrastructure Limited","Financial Results","Un-audited Financial Results (both Standalone and Consolidated) for the quarter and nine months ended 31st December, 2023","14-Feb-2024"
"MEP","MEP Infrastructure Developers Limited","Financial Results/Other business matters","MEP Infrastructure Developers Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 14/02/2024 ,inter alia, to consider and approve Unaudited Financial Results for the Quarter and Nine Months ended 31st December, 2023 and other business matter(s), if any.","14-Feb-2024"
"MORARJEE","Morarjee Textiles Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MUFIN","Mufin Green Finance Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MUFTI","Credo Brands Marketing Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MUKTAARTS","Mukta Arts Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MUNJALAU","Munjal Auto Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"MURUDCERA","Murudeshwar Ceramics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"MUTHOOTFIN","Muthoot Finance Limited","Financial Results/Fund Raising","To consider and approve the financial results for the period ended December 31, 2023 and Fund Raising","14-Feb-2024"
"NARMADA","Narmada Agrobase Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"NATCOPHARM","Natco Pharma Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and 3rd interim dividend for the Financial Year 2023-24, if any.","14-Feb-2024"
"NECCLTD","North Eastern Carrying Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"NECCLTD","North Eastern Carrying Corporation Limited","Fund Raising","Update on Board Meeting","14-Feb-2024"
"NECLIFE","Nectar Lifesciences Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"NFL","National Fertilizers Limited","Financial Results","- Un-audited Financial Results for the quarter ended 31st December, 2023.- Intimation regarding holding of Meeting of Board of Directors.- Intimation regarding Closure of Trading Window for Insiders.","14-Feb-2024"
"NH","Narayana Hrudayalaya Ltd.","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"NMDC","NMDC Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended December 31, 2023 and dividend","14-Feb-2024"
"NOIDATOLL","Noida Toll Bridge Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"NOVAAGRI","Nova Agritech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"NSLNISP","NMDC Steel Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"ORICONENT","Oricon Enterprises Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"OSIAHYPER","Osia Hyper Retail Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"OSWALSEEDS","ShreeOswal Seeds And Chemicals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"PAR","Par Drugs and Chemicals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"PAR","Par Drugs and Chemicals Limited","Financial Results/Other business matters","PAR : 16-Feb-2024 :  The Company has informed the Exchange that a Board meeting to be held on February 14, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on February 16, 2024, To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"PARSVNATH","Parsvnath Developers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"PAVNAIND","Pavna Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"PCJEWELLER","PC Jeweller Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"PLAZACABLE","Plaza Wires Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"POLYPLEX","Polyplex Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"PRUDMOULI","Prudential Sugar Corporation Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"PTC","PTC India Limited","Financial Results","To consider and approve the un-audited Standalone and consolidated financial results for the quarter and nine months ended December 31, 2023","14-Feb-2024"
"RADAAN","Radaan Mediaworks India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"RAJESHEXPO","Rajesh Exports Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"RAJTV","Raj Television Network Limited","Financial Results/Other business matters","To consider and approve the financial results for the quarter ended December 31, 2023 and other business matters","14-Feb-2024"
"RAMASTEEL","Rama Steel Tubes Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"RANASUG","Rana Sugars Limited","Financial Results","To consider and approve the unaudited quarterly/nine-months financial results for the period ended December 31, 2023","14-Feb-2024"
"RELCHEMQ","Reliance Chemotex Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"RKEC","RKEC Projects Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"ROTO","Roto Pumps Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"RPPINFRA","R.P.P. Infra Projects Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","14-Feb-2024"
"RVHL","Ravinder Heights Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SABTN","Sri Adhikari Brothers Television Network Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SANWARIA","Sanwaria Consumer Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SELMC","SEL Manufacturing Company Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SGIL","Synergy Green Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SHANTI","Shanti Overseas (India) Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SHIRPUR-G","Shirpur Gold Refinery Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SHIVAMAUTO","Shivam Autotech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SHRIRAMPPS","Shriram Properties Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
"SIGIND","Signet Industries Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","14-Feb-2024"
