"SR. NO ","SYMBOL ","COMPANY NAME ","ISIN ","ASM STAGE "
"Long Term",,,,
163,"PRESTIGE","Prestige Estates Projects Limited","INE811K01011","LTASM - I (13)"
164,"PURVA","Puravankara Limited","INE323I01011","LTASM - I (13)"
165,"QUICKHEAL","Quick Heal Technologies Limited","INE306L01010","LTASM - I (13)"
166,"RANEENGINE","Rane Engine Valve Limited","INE222J01013","LTASM - I (13)"
167,"REFEX","Refex Industries Limited","INE056I01017","LTASM - I (13)"
168,"ROCKINGDCE","Rockingdeals Circular Economy Limited","INE0PTR01012","LTASM - II (14)"
169,"RTNPOWER","RattanIndia Power Limited","INE399K01017","LTASM - IV (16)"
170,"SAH","Sah Polymers Limited","INE035801013","LTASM - I (13)"
171,"SAKSOFT","Saksoft Limited","INE667G01023","LTASM - IV (16)"
172,"SALASAR","Salasar Techno Engineering Limited","INE170V01027","LTASM - I (13)"
173,"SANDUMA","Sandur Manganese & Iron Ores Limited","INE149K01016","LTASM - I (13)"
174,"SARVESHWAR","Sarveshwar Foods Limited","INE324X01026","LTASM - II (14)"
175,"SCHNEIDER","Schneider Electric Infrastructure Limited","INE839M01018","LTASM - I (13)"
176,"SDBL","Som Distilleries & Breweries Limited","INE480C01020","LTASM - I (13)"
177,"SECL","Salasar Exteriors and Contour Limited","INE00Y701026","LTASM - I (13)"
178,"SEPC","SEPC Limited","INE964H01014","LTASM - I (13)"
179,"SERVOTECH","Servotech Power Systems Limited","INE782X01033","LTASM - IV (16)"
180,"SGIL","Synergy Green Industries Limited","INE00QT01015","LTASM - I (13)"
181,"SGL","STL Global Limited","INE353H01010","LTASM - I (13)"
182,"SHAKTIPUMP","Shakti Pumps (India) Limited","INE908D01010","LTASM - IV (16)"
183,"SHANTI","Shanti Overseas (India) Limited","INE933X01016","LTASM - I (13)"
184,"SHIVATEX","Shiva Texyarn Limited","INE705C01020","LTASM - I (13)"
185,"SIGACHI","Sigachi Industries Limited","INE0D0K01022","LTASM - I (13)"
186,"SIGNATURE","Signatureglobal (India) Limited","INE903U01023","LTASM - I (13)"
187,"SKMEGGPROD","SKM Egg Products Export (India) Limited","INE411D01015","LTASM - I (13)"
188,"SKYGOLD","Sky Gold Limited","INE01IU01018","LTASM - IV (16)"
189,"SMSLIFE","SMS Lifesciences India Limited","INE320X01016","LTASM - I (13)"
190,"SOBHA","Sobha Limited","INE671H01015","LTASM - I (13)"
191,"SONAMLTD","SONAM LIMITED","INE00LM01011","LTASM - I (13)"
192,"SPECTRUM","Spectrum Electrical Industries Limited","INE01EO01010","LTASM - II (14)"
193,"SURANI","Surani Steel Tubes Limited","INE01ZJ01015","LTASM - I (13)"
194,"SURYAROSNI","Surya Roshni Limited","INE335A01020","LTASM - I (13)"
195,"SUZLON","Suzlon Energy Limited","INE040H01021","LTASM - II (14)"
196,"SWANENERGY","Swan Energy Limited","INE665A01038","LTASM - I (13)"
197,"TAKE","Take Solutions Limited","INE142I01023","LTASM - I (13)"
198,"TALBROAUTO","Talbros Automotive Components Limited","INE187D01029","LTASM - IV (16)"
199,"TAPIFRUIT","Tapi Fruit Processing Limited","INE0M7001010","LTASM - I (13)"
200,"TARC","Anant Raj Global Limited","INE0EK901012","LTASM - IV (16)"
201,"TARC","TARC Limited","INE0EK901012","LTASM - IV (16)"
202,"TATAINVEST","Tata Investment Corporation Limited","INE672A01018","LTASM - I (13)"
203,"TEXRAIL","Texmaco Rail & Engineering Limited","INE621L01012","LTASM - I (13)"
204,"TFCILTD","Tourism Finance Corporation of India Limited","INE305A01015","LTASM - I (13)"
205,"THANGAMAYL","Thangamayil Jewellery Limited","INE085J01014","LTASM - I (13)"
206,"THOMASCOOK","Thomas Cook  (India)  Limited","INE332A01027","LTASM - I (13)"
207,"TOKYOPLAST","Tokyo Plast International Limited","INE932C01012","LTASM - I (13)"
208,"TRIL","Transformers And Rectifiers (India) Limited","INE763I01026","LTASM - IV (16)"
209,"TVVISION","TV Vision Limited","INE871L01013","LTASM - I (13)"
210,"URJA","Urja Global Limited","INE550C01020","LTASM - IV (16)"
211,"V2RETAIL","V2 Retail Limited","INE945H01013","LTASM - I (13)"
212,"VERTOZ","Vertoz Advertising Limited","INE188Y01015","LTASM - IV (16)"
213,"VIPULLTD","Vipul Limited","INE946H01037","LTASM - I (13)"
214,"VOLTAMP","Voltamp Transformers Limited","INE540H01012","LTASM - I (13)"
215,"WALCHANNAG","Walchandnagar Industries Limited","INE711A01022","LTASM - IV (16)"
216,"WEBELSOLAR","Websol Energy System Limited","INE855C01015","LTASM - I (13)"
217,"WEL","Wonder Electricals Limited","INE02WG01016","LTASM - I (13)"
218,"WELCORP","Welspun Corp Limited","INE191B01025","LTASM - I (13)"
219,"WONDERLA","Wonderla Holidays Limited","INE066O01014","LTASM - I (13)"
